Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,Off Screen,2.8%,0.2,0.3,1.5,-,-,0.1,0.1,0.2,50%,75%,0%,0%,0%,"50%
"
Aurora University,Matt Dunn,2019-1-9,Play Types,Offensive,Off Screen,1.4%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Off Screen,1.4%,0.3,0,0,-,-,0.3,0,0.3,0%,0%,0%,0%,0%,"0%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Off Screen,1.4%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Off Screen,27%,1.2,1.9,1.588,96%,Excellent,0.1,0.8,0.9,84.6%,84.6%,5.9%,29.4%,29.4%,"76.5%
"
Aurora University,Jarek Hotwagner,2019-1-9,Play Types,Offensive,Off Screen,22.2%,1,1.6,1.571,95%,Excellent,0.1,0.6,0.8,81.8%,81.8%,7.1%,21.4%,14.3%,"78.6%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Off Screen,14.3%,0.8,1.3,1.556,-,-,0.2,0.5,0.7,75%,75%,0%,11.1%,11.1%,"77.8%
"
Aurora University,Mike Finley,2019-1-9,Play Types,Offensive,Off Screen,6.3%,0.3,0.1,0.5,-,-,0.1,0,0.1,0%,0%,0%,50%,50%,"25%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Off Screen,6.3%,0.3,0.1,0.5,-,-,0.1,0.1,0.2,33.3%,33.3%,25%,0%,0%,"25%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Off Screen,4.8%,0.2,0.4,2,-,-,0,0.1,0.1,100%,100%,0%,66.7%,33.3%,"100%
"
Aurora University,Rashad Johnson,2019-1-9,Play Types,Offensive,Off Screen,4.8%,0.4,0.1,0.333,-,-,0.3,0,0.3,0%,0%,0%,33.3%,33.3%,"33.3%
"
Aurora University,Justin Wierzgac,2019-1-9,Play Types,Offensive,Off Screen,4.8%,0.3,0,0,-,-,0.3,0,0.3,0%,0%,0%,0%,0%,"0%
"
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Off Screen,3.2%,0.7,1,1.5,-,-,0,0.3,0.3,100%,100%,0%,50%,50%,"100%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Off Screen,1.6%,0.1,0.1,1,-,-,0,0,0,-,-,0%,100%,100%,"100%
"
Aurora University,Garrett Hoffman,2019-1-9,Play Types,Offensive,Off Screen,1.6%,0.1,0.2,2,-,-,0,0.1,0.1,100%,100%,0%,0%,0%,"100%
"
Aurora University,Deante Walker,2019-1-9,Play Types,Offensive,Off Screen,1.6%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,Myles Turner,2019-1-9,Play Types,Offensive,Off Screen,1.6%,1,2,2,-,-,0,0,0,-,-,0%,100%,0%,"100%
"
