Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Team_ID
2,2018-12-23,0.12,9.5,7.5,0.8,0.76,Very Good,4.2,2.5,6.7,0.38,0.41,0.14,0.18,0.14,0.38,3,23,6
1,2018-12-23,0.01,0.9,0.8,0.92,0.44,Average,0.5,0.3,0.8,0.4,0.55,0.17,0,0,0.33,4,24,6
2,2018-12-23,0.01,1.2,1.3,1.13,0.23,Below Average,0.6,0.5,1.1,0.43,0.57,0.07,0.07,0.07,0.4,4,24,6
1,2018-12-23,0.14,11.6,8.9,0.77,0.44,Average,4.5,3.6,8.1,0.45,0.52,0.28,0.05,0.04,0.33,4,25,6
2,2018-12-23,0.13,10.2,8.2,0.81,0.53,Good,3.5,3,6.5,0.46,0.55,0.29,0.08,0.08,0.35,4,25,6
1,2018-12-23,0.03,2.2,1.6,0.75,0.18,Below Average,1.4,0.6,2,0.31,0.4,0.07,0,0,0.29,4,26,6
2,2018-12-23,0.02,1.9,1.9,1,0.57,Good,1.2,0.7,1.8,0.38,0.48,0,0.04,0.04,0.4,4,26,6
1,2018-12-23,0,0.3,0.5,1.5,-,-,0,0.2,0.2,1,1.5,0.5,0,0,0.5,5,27,6
2,2018-12-23,0,0.3,0.6,2,-,-,0,0.2,0.2,1,1.33,0.25,0,0,0.75,5,27,6
1,2018-12-23,0.03,2.1,1.5,0.7,0.35,Average,1,0.5,1.5,0.35,0.45,0.22,0.04,0.04,0.3,5,28,6
2,2018-12-23,0.01,1.1,1,0.93,0.35,Average,0.3,0.3,0.6,0.5,0.63,0.29,0.21,0.14,0.36,5,28,6
1,2018-12-23,0.52,25.9,23.2,0.89,0.36,Average,17.5,8.4,25.9,0.32,0.45,0,0,0,0.32,6,29,6
2,2018-12-23,0.53,24.5,23.8,0.97,0.38,Average,15.8,8.8,24.5,0.36,0.48,0,0,0,0.36,6,29,6
1,2018-12-23,0.03,1.5,0.7,0.45,0.24,Below Average,1.3,0.2,1.5,0.15,0.23,0,0,0,0.15,6,30,6
2,2018-12-23,0.04,2,2.5,1.23,0.03,Poor,1.1,0.9,2,0.46,0.62,0,0,0,0.46,6,30,6
1,2018-12-23,0.05,2.3,1.8,0.77,0.63,Good,1.5,0.8,2.3,0.37,0.37,0,0.03,0.03,0.37,6,31,6
2,2018-12-23,0.07,3.4,2.8,0.82,0.28,Below Average,2,1.4,3.4,0.41,0.41,0,0,0,0.41,6,31,6
1,2018-12-23,0,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0,6,32,6
2,2018-12-23,0,0.2,0.3,2,-,-,0,0.2,0.2,1,1,0,0,0,1,6,32,6
1,2018-12-23,0.34,16.7,20.1,1.2,0.81,Very Good,7.2,9.5,16.7,0.57,0.57,0,0.09,0.09,0.57,6,33,6
2,2018-12-23,0.3,13.9,15.9,1.14,0.4,Average,6.1,7.8,13.9,0.56,0.56,0,0.04,0.04,0.56,6,33,6
1,2018-12-23,0.1,4.8,5.2,1.06,0.73,Very Good,2.4,2.5,4.8,0.51,0.51,0,0.05,0.05,0.51,6,34,6
2,2018-12-23,0.1,4.8,3.8,0.79,0.86,Excellent,3,1.8,4.8,0.38,0.38,0,0.05,0.05,0.38,6,34,6
1,2018-12-23,0.01,0.2,0.2,1,-,-,0.2,0.1,0.2,0.33,0.33,0,0.33,0.33,0.33,6,35,6
2,2018-12-23,0,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0,6,35,6
1,2018-12-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,36,6
2,2018-12-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,36,6
1,2018-12-23,0.34,17,17.3,1.02,0.56,Good,11.2,5.8,17,0.34,0.51,0,0.01,0.01,0.34,7,37,6
2,2018-12-23,0.31,14.4,15.5,1.08,0.32,Average,9.1,5.3,14.4,0.37,0.54,0,0,0,0.37,7,37,6
1,2018-12-23,0.61,10.3,9.3,0.9,0.42,Average,7.2,3.2,10.3,0.31,0.45,0,0.01,0.01,0.31,7,38,6
2,2018-12-23,0.46,6.5,6.3,0.97,0.47,Average,4.4,2.2,6.5,0.33,0.48,0,0,0,0.33,7,38,6
1,2018-12-23,0.39,6.7,8,1.2,0.68,Very Good,4,2.7,6.7,0.4,0.6,0,0,0,0.4,7,39,6
2,2018-12-23,0.55,7.8,9.2,1.18,0.32,Average,4.7,3.2,7.8,0.4,0.59,0,0,0,0.4,7,39,6
1,2018-12-23,0.15,7.2,4.9,0.68,0.28,Below Average,5,2.2,7.2,0.31,0.34,0,0,0,0.31,8,40,6
2,2018-12-23,0.19,9,7.3,0.81,0.35,Average,5.9,3.1,9,0.34,0.41,0,0,0,0.34,8,40,6
