,chosen_player,pair,min,metric_name,metric_desc,metric_value
0,Milos Dugalic,"Jalen Lomax,Milos Dugalic",4.5,foul_rate,number of fouls committed per minute,0.222222222222222
0,Milos Dugalic,"Anthony Mosley,Milos Dugalic",134.85,foul_rate,number of fouls committed per minute,0.378197997775306
0,Cody Mattson,"Cody Mattson,Kohl Linder",2.83333333333333,foul_rate,number of fouls committed per minute,0.705882352941177
0,Cody Mattson,"Calvin Schmitz,Cody Mattson",11.0333333333333,foul_rate,number of fouls committed per minute,0.362537764350453
0,Cody Mattson,"Ahmad Muhammad,Cody Mattson",22.0333333333333,foul_rate,number of fouls committed per minute,0.27231467473525
0,Cody Mattson,"Anthony Mosley,Cody Mattson",12.1833333333333,foul_rate,number of fouls committed per minute,0.246238030095759
0,Cody Mattson,"Cody Mattson,Jalen Lomax",6.96666666666666,foul_rate,number of fouls committed per minute,0.287081339712919
0,Parker Joncus,"Jalen Lomax,Parker Joncus",2.76666666666667,foul_rate,number of fouls committed per minute,0.72289156626506
0,Parker Joncus,"Ahmad Muhammad,Parker Joncus",282.033333333333,foul_rate,number of fouls committed per minute,0.411298900839144
0,Parker Joncus,"Jake Bruns,Parker Joncus",130.9,foul_rate,number of fouls committed per minute,0.336134453781513
0,Parker Joncus,"Anthony Mosley,Parker Joncus",186.983333333333,foul_rate,number of fouls committed per minute,0.379712986897228
0,Parker Joncus,"Calvin Schmitz,Parker Joncus",184.016666666667,foul_rate,number of fouls committed per minute,0.34236029345168
0,Ricardo Whitehead,"Kohl Linder,Ricardo Whitehead",7.85000000000001,foul_rate,number of fouls committed per minute,0.891719745222929
0,Ricardo Whitehead,"Ahmad Muhammad,Ricardo Whitehead",46.0333333333333,foul_rate,number of fouls committed per minute,0.608254887762491
